Unit / Cluster,Standard,Standard Text,Geo?,Map / Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
East Asia: 400-1500s CE,7.01,"Identify and locate the geographical features of East Asia, including: • China • Gobi Desert • Himalayan Mountains • Japan • Korean Peninsula • Pacific Ocean • Plateau of Tibet • Sea of Japan (East Sea) • Yangtze River • Yellow River",Yes,"Reference Map of Eastern Asia (physical features of China, Japan, Korea)",map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Physical reference map of East Asia showing China, the Gobi Desert, the Himalayas, the Plateau of Tibet, the Korean Peninsula, Japan, the Yangtze and Yellow Rivers, and the surrounding Pacific Ocean and Sea of Japan.",NO,SSP.06; SSP.01,Primary locator map for the East Asia feature list; students annotate the ten required physical features.,OK
East Asia: 400-1500s CE,7.01,"Identify and locate the geographical features of East Asia, including: • China • Gobi Desert • Himalayan Mountains • Japan • Korean Peninsula • Pacific Ocean • Plateau of Tibet • Sea of Japan (East Sea) • Yangtze River • Yellow River",Yes,"Physical map of East Asia (relief, rivers, and seas)",map,David Rumsey Map Collection,1892,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=east+asia+china+japan+physical,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","High-resolution physical map of East Asia showing elevation, the Himalayan and Tibetan highlands, the Gobi Desert, and the Yangtze and Yellow River systems.",NO,SSP.06; SSP.01,Full-resolution alternative for close reading of relief and river systems.,OK — attribute (CC BY)
East Asia: 400-1500s CE,7.02,Describe how the reunification of China prior to the Tang Dynasty helped spread Buddhist beliefs.,Yes,China under the Tang Dynasty (reunification and Buddhist expansion),map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.",Map of a reunified Tang China showing the extent of the empire and overland routes along which Buddhism spread into and across East Asia.,NO,SSP.06; SSP.01,Use with a spread-of-Buddhism overlay to connect reunification with religious diffusion.,OK
East Asia: 400-1500s CE,7.03,"Summarize agricultural, commercial, and technological developments during the Song Dynasties, and describe the role of Confucianism during the Song.",Yes,China under the Song Dynasty,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of Song Dynasty China showing the southern heartland, major cities, canals, and agricultural regions of the Song commercial economy.",NO,SSP.06; SSP.01,"Supports discussion of Song agricultural, commercial, and technological growth.",OK
East Asia: 400-1500s CE,7.04,"Examine the rise of the Mongol Empire, including the conquests of Genghis Khan.",Yes,"The Mongol Dominions, c. 1300 (rise of the Mongol Empire)",map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of the Mongol Empire at its greatest extent across Eurasia, showing the khanates that emerged from the conquests of Genghis Khan.",NO,SSP.06; SSP.01,Central map for the scale of Genghis Khan's conquests across Eurasia.,OK
East Asia: 400-1500s CE,7.04,"Examine the rise of the Mongol Empire, including the conquests of Genghis Khan.",Yes,Growth of the Mongol Empire under Genghis Khan,map,David Rumsey Map Collection,1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=mongol+empire,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Historical map showing the phases of Mongol expansion across Central Asia, China, Persia, and Russia.",NO,SSP.06; SSP.01,Alternative showing staged conquest and campaign directions.,OK — attribute (CC BY)
East Asia: 400-1500s CE,7.05,"Describe Kublai Khan's conquest of China, and explain how he was able to maintain control of the Yuan Empire.",Yes,The Yuan Empire under Kublai Khan,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of the Yuan Dynasty showing Kublai Khan's rule over China and the western khanates of the Mongol world, with the capital at Khanbaliq (Beijing).",NO,SSP.06; SSP.01,Shows the China portion of the Mongol world Kublai Khan consolidated and governed.,OK
East Asia: 400-1500s CE,7.06,"Summarize the effects of the Mongolian empires on the Silk Roads, including the importance of Marco Polo's travels on the spread of Chinese technology and Eurasian trade.",Yes,The Silk Road and Marco Polo's route across Eurasia,map,David Rumsey Map Collection,1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=silk+road+marco+polo,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.",Map tracing the overland Silk Road trade routes across Central Asia and the journey of Marco Polo from the Mediterranean to China under the Mongol Peace.,NO,SSP.06; SSP.01,Core map for Mongol-era Eurasian trade and technology transfer.,OK — attribute (CC BY)
East Asia: 400-1500s CE,7.06,"Summarize the effects of the Mongolian empires on the Silk Roads, including the importance of Marco Polo's travels on the spread of Chinese technology and Eurasian trade.",Yes,Asia in the Time of the Mongols — trade and travel routes,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Historical atlas map of Mongol-era Asia showing caravan routes linking China, Central Asia, Persia, and Europe.",NO,SSP.06; SSP.01,Public-domain atlas complement for Eurasian exchange.,OK
East Asia: 400-1500s CE,7.07,"Analyze the achievements of the Ming Dynasty and reasons for its isolationism, including building projects (e.g., the Forbidden City and reconstruction of the Great Wall) and Zheng He's sea voyages.",Yes,China under the Ming Dynasty,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of Ming Dynasty China showing the Great Wall, the capital at Beijing (Forbidden City), and the empire's provinces.",NO,SSP.06; SSP.01,"Anchors Ming building projects (Great Wall, Forbidden City) and later isolationism.",OK
