Unit / Cluster,Standard,Standard Text,Chart Title,Chart Type,What the Chart Shows,Data Source,Data Source URL,Data Rights,Commercial OK?,Citation,Schedule F (SSP),Build Note,Guardrail Check
East Asia: 400-1500s CE,7.03,"Summarize agricultural, commercial, and technological developments during the Song Dynasties, and describe the role of Confucianism during the Song.",China's Population Boom During the Tang and Song Dynasties (600-1300 CE),line,"Line chart of China's estimated population from roughly 600 to 1300 CE, showing rapid growth during the Tang and especially Song dynasties as wet-rice agriculture and commerce expanded.","Our World in Data population data (based on HYDE 3.3, Gapminder, and UN), long-run series for China",https://ourworldindata.org/grapher/population,CC BY 4.0,Yes,"Our World in Data (2024), 'Population,' based on HYDE (2023), Gapminder (2022), and UN World Population Prospects (2022). Licensed CC BY 4.0.",SSP.01; SSP.02,Supports the Song agricultural/commercial developments in 7.03. Filter the OWID long-run population series to China and the 600-1300 window.,OK
East Asia: 400-1500s CE,7.03,"Summarize agricultural, commercial, and technological developments during the Song Dynasties, and describe the role of Confucianism during the Song.",China's GDP per Capita in the Long Run: The Song Economic Peak,line,"Line chart of estimated real GDP per capita for China across the medieval and early modern eras, highlighting the relatively high Song-era standard of living.","Maddison Project Database 2020 (real GDP per capita, historical estimates for China)",https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2020,CC BY 4.0,Yes,"Bolt, J. and van Zanden, J.L. (2020), 'Maddison Project Database, version 2020.' University of Groningen, GGDC. Licensed CC BY 4.0.",SSP.01; SSP.02,"Reinforces the technological/commercial prosperity of the Song in 7.03. Note that pre-1000 estimates are sparse and interpolated; present as historian estimates, not precise measurements.",OK
East Asia: 400-1500s CE,7.04,"Examine the rise of the Mongol Empire, including the conquests of Genghis Khan.",Land Area of the Mongol Empire Compared to Other Great Empires at Their Peak,bar,"Bar chart comparing the peak land area (in millions of square kilometers) of the Mongol Empire against the Umayyad Caliphate, Byzantine, Han, and Roman empires, with the Mongol Empire as the largest contiguous land empire.","Taagepera, R. (1997), empire territorial-size estimates (millions of km^2 at peak)",https://doi.org/10.1111/0020-8833.00053,"Academic factual data (empire areas are facts, not copyrightable); cite source",Yes,"Taagepera, R. (1997), 'Expansion and Contraction Patterns of Large Polities: Context for Russia,' International Studies Quarterly 41(3): 475-504.",SSP.01; SSP.06,Supports the rise of the Mongol Empire (7.04/7.05). Taagepera's figures are widely cited historian estimates; label as estimates. Same source underpins the Byzantine and Ottoman charts below.,OK — academic data (confirm)
Byzantine Empire: 400-1500s CE,7.12,"Identify the continuation of the Eastern Roman Empire as the Byzantine Empire, and describe the diffusion of Christianity and the Latin language.","The Long Decline of the Byzantine Empire's Territory, 550-1450 CE",line,"Line chart of Byzantine Empire territory from the Justinian peak around 550 CE to the fall of Constantinople in 1453, showing a long-run contraction punctuated by brief recoveries.","Taagepera, R. (1997), Byzantine (Eastern Roman) territorial-size estimates over time",https://doi.org/10.1111/0020-8833.00053,"Academic factual data (empire areas are facts, not copyrightable); cite source",Yes,"Taagepera, R. (1997), 'Expansion and Contraction Patterns of Large Polities: Context for Russia,' International Studies Quarterly 41(3): 475-504.",SSP.01; SSP.06,"Supports 7.12-7.14 (Byzantine continuity, Justinian, and geography). Pairs naturally with the Ottoman-growth chart to show the transfer of power in 1453.",OK — academic data (confirm)
Southwest Asia and North Africa: 400-1500s CE,7.17,"Describe the diffusion of Islam, its culture, and the Arabic language.","Expansion of the Early Islamic Caliphate, 632-750 CE",area,"Area chart showing the territorial expansion of the Islamic Caliphate from the death of Muhammad in 632 CE through the Umayyad peak around 750 CE, rising from the Arabian Peninsula to span from Iberia to Central Asia.","Taagepera, R. (1997), territorial-size estimates for the Rashidun and Umayyad Caliphates over time",https://doi.org/10.1111/0020-8833.00053,"Academic factual data (empire areas are facts, not copyrightable); cite source",Yes,"Taagepera, R. (1997), 'Expansion and Contraction Patterns of Large Polities: Context for Russia,' International Studies Quarterly 41(3): 475-504.",SSP.01; SSP.06,"Supports the diffusion of Islam and Arabic (7.17). Visualizes the speed of expansion, not population.",OK — academic data (confirm)
Southwest Asia and North Africa: 400-1500s CE,7.19,"Explain the importance of Mehmed II the Conqueror, the fall of Constantinople, and the establishment of the Ottoman Empire.","Growth of the Ottoman Empire's Territory, 1300-1683 CE",line,"Line chart of Ottoman Empire land area from about 1300 to its peak in the late 1600s, with the 1453 conquest of Constantinople marked as an inflection point.","Taagepera, R. (1997), Ottoman Empire territorial-size estimates over time",https://doi.org/10.1111/0020-8833.00053,"Academic factual data (empire areas are facts, not copyrightable); cite source",Yes,"Taagepera, R. (1997), 'Expansion and Contraction Patterns of Large Polities: Context for Russia,' International Studies Quarterly 41(3): 475-504.",SSP.01; SSP.06,"Supports Mehmed II, the fall of Constantinople, and Ottoman establishment (7.19).",OK — academic data (confirm)
Middle Ages in Western Europe: 400-1500s CE,7.36,"Describe the economic and social effects of the spread of the Black Death (i.e., Bubonic Plague) from Central Asia to China, the Middle East, and Europe, and its impact on the global population.",European Population Before and After the Black Death (1300 vs. 1400),bar,"Before-and-after bar chart of Europe's estimated population around 1300 versus 1400, showing the sharp drop associated with the Black Death.","Our World in Data population data (based on HYDE 3.3, Gapminder, UN), Europe long-run series",https://ourworldindata.org/grapher/population,CC BY 4.0,Yes,"Our World in Data (2024), 'Population,' based on HYDE (2023), Gapminder (2022), UN WPP (2022). Licensed CC BY 4.0.",SSP.01; SSP.02,Central to 7.36 (economic and social effects of the Black Death). Use the OWID Europe long-run series; label as historian estimates.,OK
Middle Ages in Western Europe: 400-1500s CE,7.36,"Describe the economic and social effects of the spread of the Black Death (i.e., Bubonic Plague) from Central Asia to China, the Middle East, and Europe, and its impact on the global population.",World Population Over the Long Run: The 14th-Century Plague Dip,line,"Line chart of world population from antiquity through 1600 CE, with a visible plateau and dip in the mid-1300s reflecting the global reach of the Black Death.","Our World in Data world population long-run series (HYDE 3.3, Gapminder, UN)",https://ourworldindata.org/grapher/population,CC BY 4.0,Yes,"Our World in Data (2024), 'Population,' based on HYDE (2023), Gapminder (2022), UN WPP (2022). Licensed CC BY 4.0.",SSP.01; SSP.02,"Supports 7.36's global-population emphasis (spread from Central Asia to China, the Middle East, and Europe). The dip is modest at world scale; pair with the Europe chart for the sharper regional impact.",OK
Middle Ages in Western Europe: 400-1500s CE,7.37,"Analyze the importance of the Black Death on the emergence of a modern economy, including: • Agricultural improvements • A merchant class • Commerce • Technological improvements • Growth of banking • Towns",Growth of Towns: Urbanization in Europe Since 1500,line,"Line chart of the share of Europe's population living in urban areas from 1500 onward, illustrating the post-plague growth of towns and a merchant economy.","Our World in Data urbanization series (based on Reba, Reitsma & Seto; and historical urban-share estimates)",https://ourworldindata.org/urbanization,CC BY 4.0,Yes,"Our World in Data (2024), 'Urbanization,' based on Reba, Reitsma & Seto (2016) and historical estimates. Licensed CC BY 4.0.",SSP.01; SSP.02,"Supports 7.37 (emergence of a modern economy: towns, merchant class). OWID's long-run urban-share data begins near 1500, aligning with the post-Black-Death period rather than the 1348 event itself.",OK
Early Modern Europe: 1400-1700s CE,7.40,"Explain how the location of the Italian Peninsula impacted the movement of resources, knowledge, and culture throughout Italy's independent trade cities.",Renaissance Italy's GDP per Capita Compared to the Rest of Europe,line,"Line chart comparing estimated real GDP per capita of Italy against England, the Netherlands, and Spain from about 1300 to 1600, showing Italy's relative wealth during the Renaissance.","Maddison Project Database 2020 (real GDP per capita for Italy and other European economies, 1300-1600)",https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2020,CC BY 4.0,Yes,"Bolt, J. and van Zanden, J.L. (2020), 'Maddison Project Database, version 2020.' University of Groningen, GGDC. Licensed CC BY 4.0.",SSP.01; SSP.02,Supports 7.40/7.41 (why the Italian city-states and Florence could fund the Renaissance). Ties wealth to the flourishing of art and patronage.,OK
