Course,Standard,Standard Text,Unit / Cluster,Geographic?,Primary Source Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Catalog URL,Download URL,Citation (academic),Alt Text,Verified?,Schedule F (SSP),Status
Grade 6,6.01,"Identify the meaning of time designations and abbreviations used by historians, including: BC / BCE; AD / CE; Circa (c. or ca), decades, centuries","Foundations of Human Civilization: c. 10,000-3500 BCE",,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.02,"Describe the characteristics of the nomadic hunter-gatherer societies, including their use of: Basic hunting weapons; Fire; Shelter; Tools","Foundations of Human Civilization: c. 10,000-3500 BCE",,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.03,"Explain the impact of the Agricultural Revolution, including: Barter economy; Domestication of plants and animals; Emergence of permanent settlements; Food surpluses; Labor specialization; New sources of clothing and shelter","Foundations of Human Civilization: c. 10,000-3500 BCE",Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.04,Identify and explain the importance of the following key characteristics of civilizations: Culture; Government; Religion; Social structure; Stable food supply; Technology; Writing,"Foundations of Human Civilization: c. 10,000-3500 BCE",Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.05,"Identify and locate geographical features of ancient Mesopotamia, including: Black Sea; Persian Gulf; Euphrates River; Tigris River; Mediterranean Sea; Zagros Mountains",Ancient Mesopotamia: c. 3500-1700 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.06,Explain how geographic and climatic features led to the region being known as the Fertile Crescent.,Ancient Mesopotamia: c. 3500-1700 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.07,"Explain how irrigation, silt, metallurgy, production of tools, use of animals, slave labor, and inventions such as the wheel, sail, and plow led to advancements in agriculture.",Ancient Mesopotamia: c. 3500-1700 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.08,"Analyze how advancements in agriculture in Sumer led to economic growth, expansion of trade and transportation, and the emergence of independent city-states.",Ancient Mesopotamia: c. 3500-1700 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.09,"Explain the basic concepts of monarchy and empire, and identify Mesopotamia as the regional location of the world's first empire.",Ancient Mesopotamia: c. 3500-1700 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.10,"Explain the concept of polytheism and its presence in Mesopotamia, with respect to beliefs about the relationship of deities to the natural world and their importance in everyday life.",Ancient Mesopotamia: c. 3500-1700 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.11,"Identify important achievements of the Mesopotamian civilization, including cuneiform, clay tablets, and ziggurats, and identify the Epic of Gilgamesh as the oldest written epic.",Ancient Mesopotamia: c. 3500-1700 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.12,"Analyze the impact of the introduction of written law in the Code of Hammurabi, and explain its basic principles of justice.",Ancient Mesopotamia: c. 3500-1700 BCE,,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
Grade 6,6.13,"Identify and locate geographical features of ancient Egypt, including: Mediterranean Sea; Red Sea; Nile Delta; The regions of Upper and Lower Egypt; Nile River; The Sahara",Ancient Egypt: c. 3000-700 BCE,Yes,,,,,,,,,,,,,,PENDING — source needed (egress-blocked archives)
